İL,LAT,LON
ADANA,37.0,35.32
ADIYAMAN,37.76,38.27
AFYONKARAHİSAR,38.75,30.54
AĞRI,39.72,43.05
AMASYA,40.65,35.83
ANKARA,39.93,32.85
ANTALYA,36.89,30.7
ARTVİN,41.18,41.82
AYDIN,37.84,27.84
BALIKESİR,39.65,27.89
BİLECİK,40.15,29.98
BİNGÖL,38.88,40.49
BİTLİS,38.4,42.1
BOLU,40.73,31.61
BURDUR,37.72,30.29
BURSA,40.18,29.06
ÇANAKKALE,40.15,26.41
ÇANKIRI,40.6,33.62
ÇORUM,40.55,34.95
DENİZLİ,37.77,29.09
DİYARBAKIR,37.91,40.21
EDİRNE,41.68,26.56
ELAZIĞ,38.68,39.23
ERZİNCAN,39.75,39.5
ERZURUM,39.9,41.27
ESKİŞEHİR,39.78,30.52
GAZİANTEP,37.07,37.38
GİRESUN,40.91,38.39
GÜMÜŞHANE,40.45,39.47
HAKKARİ,37.58,44.0
HATAY,36.2,36.18
ISPARTA,37.76,30.55
MERSİN,36.81,34.64
İSTANBUL,41.01,28.97
İZMİR,38.42,27.14
KARS,40.6,43.1
KASTAMONU,41.38,33.78
KAYSERİ,38.72,35.49
KIRKLARELİ,41.73,27.23
KIRŞEHİR,39.15,34.16
KOCAELİ (İZMİT),40.77,29.92
KONYA,37.87,32.48
KÜTAHYA,39.42,29.98
MALATYA,38.35,38.31
MANİSA,38.61,27.41
KAHRAMANMARAŞ,37.58,36.93
MARDİN,37.32,40.74
MUĞLA,37.21,28.35
MUŞ,38.75,41.49
NEVŞEHİR,38.37,34.68
NİĞDE,37.89,34.68
ORDU,40.98,37.89
RİZE,41.02,40.52
SAKARYA (ADAPAZARI),40.78,30.41
SAMSUN,41.29,36.33
SİİRT,37.93,41.94
SİNOP,42.03,34.99
SİVAS,39.75,37.01
TEKİRDAĞ,41.0,27.51
TOKAT,40.31,36.55
TRABZON,39.88,39.63
TUNCELİ,39.31,39.43
ŞANLIURFA,37.77,38.79
UŞAK,38.68,29.41
VAN,38.49,43.38
YOZGAT,39.82,34.81
ZONGULDAK,41.45,31.79
AKSARAY,38.37,34.03
BAYBURT,40.26,40.23
KARAMAN,37.18,33.22
KIRIKKALE,39.85,33.51
BATMAN,37.89,41.14
ŞIRNAK,37.52,42.45
BARTIN,41.63,32.34
ARDAHAN,41.11,42.7
IĞDIR,39.92,44.04
YALOVA,40.65,29.27
KARABÜK,41.2,32.63
KİLİS,36.72,37.12
OSMANİYE,37.07,36.25
DÜZCE,40.84,31.16
